policy,tenant,app,bw_mbps,rtt_ms,loss,device_cpu,edge_cpu,input_kb,slo_p95_ms,chosen_action,mu_latency_ms,mu_energy_j,p95_conformal_ms,slo_viol,ts
GreedyLatency,tenantA,app1,5.000,40.000,0.00000,0.500,0.200,64.0,140.0,edge1:high,134.474,9.36842,144.031,1,1760776596
AlwaysLocal,tenantA,app1,5.000,40.000,0.00000,0.500,0.200,64.0,140.0,local:med,158.148,10.45583,165.951,1,1760776596
AlwaysEdgeMed,tenantA,app1,5.000,40.000,0.00000,0.500,0.200,64.0,140.0,edge1:med,138.942,6.69173,147.167,1,1760776596
AlwaysCloudLow,tenantA,app1,5.000,40.000,0.00000,0.500,0.200,64.0,140.0,cloud1:low,248.632,5.26974,259.117,1,1760776596
CSN,tenantA,app1,5.000,40.000,0.00000,0.500,0.200,64.0,180.0,edge1:low,176.178,6.05771,185.374,1,1760776596
GreedyLatency,tenantA,app1,5.000,40.000,0.00000,0.500,0.200,64.0,180.0,edge1:high,134.474,9.42310,144.031,0,1760776596
AlwaysLocal,tenantA,app1,5.000,40.000,0.00000,0.500,0.200,64.0,180.0,local:med,158.148,10.51685,165.951,0,1760776596
AlwaysEdgeMed,tenantA,app1,5.000,40.000,0.00000,0.500,0.200,64.0,180.0,edge1:med,138.942,6.73078,147.167,0,1760776596
AlwaysCloudLow,tenantA,app1,5.000,40.000,0.00000,0.500,0.200,64.0,180.0,cloud1:low,248.632,5.30049,259.117,1,1760776596
CSN,tenantA,app1,5.000,40.000,0.00000,0.500,0.200,64.0,220.0,edge1:low,179.075,6.05771,188.271,0,1760776596
GreedyLatency,tenantA,app1,5.000,40.000,0.00000,0.500,0.200,64.0,220.0,edge1:high,136.722,9.42310,146.279,0,1760776596
AlwaysLocal,tenantA,app1,5.000,40.000,0.00000,0.500,0.200,64.0,220.0,local:med,160.563,10.51685,168.366,0,1760776596
AlwaysEdgeMed,tenantA,app1,5.000,40.000,0.00000,0.500,0.200,64.0,220.0,edge1:med,141.260,6.73078,149.485,0,1760776596
AlwaysCloudLow,tenantA,app1,5.000,40.000,0.00000,0.500,0.200,64.0,220.0,cloud1:low,251.801,5.30049,262.286,1,1760776596
CSN,tenantA,app1,5.000,40.000,0.00000,0.500,0.200,256.0,100.0,edge1:med,356.635,20.17324,364.860,1,1760776596
GreedyLatency,tenantA,app1,5.000,40.000,0.00000,0.500,0.200,256.0,100.0,edge1:high,345.636,28.24254,355.193,1,1760776596
AlwaysLocal,tenantA,app1,5.000,40.000,0.00000,0.500,0.200,256.0,100.0,local:med,384.911,31.52069,392.714,1,1760776596
AlwaysEdgeMed,tenantA,app1,5.000,40.000,0.00000,0.500,0.200,256.0,100.0,edge1:med,356.635,20.17324,364.860,1,1760776596
AlwaysCloudLow,tenantA,app1,5.000,40.000,0.00000,0.500,0.200,256.0,100.0,cloud1:low,546.259,15.88643,556.744,1,1760776596
CSN,tenantA,app1,5.000,40.000,0.00000,0.500,0.200,256.0,140.0,edge1:low,448.294,18.05247,457.490,1,1760776596
GreedyLatency,tenantA,app1,5.000,40.000,0.00000,0.500,0.200,256.0,140.0,edge1:high,345.636,28.08163,355.193,1,1760776596
AlwaysLocal,tenantA,app1,5.000,40.000,0.00000,0.500,0.200,256.0,140.0,local:med,384.911,31.34110,392.714,1,1760776596
AlwaysEdgeMed,tenantA,app1,5.000,40.000,0.00000,0.500,0.200,256.0,140.0,edge1:med,356.635,20.05830,364.860,1,1760776596
AlwaysCloudLow,tenantA,app1,5.000,40.000,0.00000,0.500,0.200,256.0,140.0,cloud1:low,546.259,15.79591,556.744,1,1760776596
CSN,tenantA,app1,5.000,40.000,0.00000,0.500,0.200,256.0,180.0,edge1:med,356.635,20.09736,364.860,1,1760776596
GreedyLatency,tenantA,app1,5.000,40.000,0.00000,0.500,0.200,256.0,180.0,edge1:high,345.636,28.13630,355.193,1,1760776596
AlwaysLocal,tenantA,app1,5.000,40.000,0.00000,0.500,0.200,256.0,180.0,local:med,384.911,31.40212,392.714,1,1760776596
AlwaysEdgeMed,tenantA,app1,5.000,40.000,0.00000,0.500,0.200,256.0,180.0,edge1:med,356.635,20.09736,364.860,1,1760776596
AlwaysCloudLow,tenantA,app1,5.000,40.000,0.00000,0.500,0.200,256.0,180.0,cloud1:low,546.259,15.82667,556.744,1,1760776596
CSN,tenantA,app1,5.000,40.000,0.00000,0.500,0.200,256.0,220.0,edge1:med,356.635,20.09736,364.860,1,1760776596
GreedyLatency,tenantA,app1,5.000,40.000,0.00000,0.500,0.200,256.0,220.0,edge1:high,345.636,28.13630,355.193,1,1760776596
AlwaysLocal,tenantA,app1,5.000,40.000,0.00000,0.500,0.200,256.0,220.0,local:med,384.911,31.40212,392.714,1,1760776596
AlwaysEdgeMed,tenantA,app1,5.000,40.000,0.00000,0.500,0.200,256.0,220.0,edge1:med,356.635,20.09736,364.860,1,1760776596
AlwaysCloudLow,tenantA,app1,5.000,40.000,0.00000,0.500,0.200,256.0,220.0,cloud1:low,546.259,15.82667,556.744,1,1760776596
CSN,tenantA,app1,5.000,40.000,0.00000,0.500,0.200,1024.0,100.0,edge1:high,1443.003,107.45665,1452.560,1,1760776596
GreedyLatency,tenantA,app1,5.000,40.000,0.00000,0.500,0.200,1024.0,100.0,edge1:high,1443.003,107.45665,1452.560,1,1760776596
AlwaysLocal,tenantA,app1,5.000,40.000,0.00000,0.500,0.200,1024.0,100.0,local:med,1563.355,119.92929,1571.158,1,1760776596
AlwaysEdgeMed,tenantA,app1,5.000,40.000,0.00000,0.500,0.200,1024.0,100.0,edge1:med,1487.941,76.75475,1496.166,1,1760776596
AlwaysCloudLow,tenantA,app1,5.000,40.000,0.00000,0.500,0.200,1024.0,100.0,cloud1:low,2092.967,60.44436,2103.451,1,1760776596
CSN,tenantA,app1,5.000,40.000,0.00000,0.500,0.200,1024.0,140.0,edge1:high,1443.003,107.29574,1452.560,1,1760776596
GreedyLatency,tenantA,app1,5.000,40.000,0.00000,0.500,0.200,1024.0,140.0,edge1:high,1443.003,107.29574,1452.560,1,1760776596
AlwaysLocal,tenantA,app1,5.000,40.000,0.00000,0.500,0.200,1024.0,140.0,local:med,1563.355,119.74971,1571.158,1,1760776596
AlwaysEdgeMed,tenantA,app1,5.000,40.000,0.00000,0.500,0.200,1024.0,140.0,edge1:med,1487.941,76.63981,1496.166,1,1760776596
AlwaysCloudLow,tenantA,app1,5.000,40.000,0.00000,0.500,0.200,1024.0,140.0,cloud1:low,2092.967,60.35385,2103.451,1,1760776596
CSN,tenantA,app1,5.000,40.000,0.00000,0.500,0.200,1024.0,180.0,edge1:high,1443.003,107.35042,1452.560,1,1760776596
GreedyLatency,tenantA,app1,5.000,40.000,0.00000,0.500,0.200,1024.0,180.0,edge1:high,1443.003,107.35042,1452.560,1,1760776596
AlwaysLocal,tenantA,app1,5.000,40.000,0.00000,0.500,0.200,1024.0,180.0,local:med,1563.355,119.81073,1571.158,1,1760776596
AlwaysEdgeMed,tenantA,app1,5.000,40.000,0.00000,0.500,0.200,1024.0,180.0,edge1:med,1487.941,76.67887,1496.166,1,1760776596
AlwaysCloudLow,tenantA,app1,5.000,40.000,0.00000,0.500,0.200,1024.0,180.0,cloud1:low,2092.967,60.38461,2103.451,1,1760776596
CSN,tenantA,app1,5.000,40.000,0.00000,0.500,0.200,1024.0,220.0,edge1:high,1443.003,107.35042,1452.560,1,1760776596
GreedyLatency,tenantA,app1,5.000,40.000,0.00000,0.500,0.200,1024.0,220.0,edge1:high,1443.003,107.35042,1452.560,1,1760776596
AlwaysLocal,tenantA,app1,5.000,40.000,0.00000,0.500,0.200,1024.0,220.0,local:med,1563.355,119.81073,1571.158,1,1760776596
AlwaysEdgeMed,tenantA,app1,5.000,40.000,0.00000,0.500,0.200,1024.0,220.0,edge1:med,1487.941,76.67887,1496.166,1,1760776596
AlwaysCloudLow,tenantA,app1,5.000,40.000,0.00000,0.500,0.200,1024.0,220.0,cloud1:low,2092.967,60.38461,2103.451,1,1760776596
CSN,tenantA,app1,5.000,40.000,0.00000,0.500,0.200,1536.0,100.0,edge1:high,2262.787,166.58752,2272.343,1,1760776596
GreedyLatency,tenantA,app1,5.000,40.000,0.00000,0.500,0.200,1536.0,100.0,edge1:high,2262.787,166.58752,2272.343,1,1760776596
AlwaysLocal,tenantA,app1,5.000,40.000,0.00000,0.500,0.200,1536.0,100.0,local:med,2443.708,185.92358,2451.510,1,1760776596
AlwaysEdgeMed,tenantA,app1,5.000,40.000,0.00000,0.500,0.200,1536.0,100.0,edge1:med,2333.079,118.99109,2341.304,1,1760776596
AlwaysCloudLow,tenantA,app1,5.000,40.000,0.00000,0.500,0.200,1536.0,100.0,cloud1:low,3248.429,93.70548,3258.913,1,1760776596
CSN,tenantA,app1,5.000,40.000,0.00000,0.500,0.200,1536.0,140.0,edge1:high,2262.787,166.73610,2272.343,1,1760776596
GreedyLatency,tenantA,app1,5.000,40.000,0.00000,0.500,0.200,1536.0,140.0,edge1:high,2262.787,166.73610,2272.343,1,1760776596
AlwaysLocal,tenantA,app1,5.000,40.000,0.00000,0.500,0.200,1536.0,140.0,local:med,2443.708,186.08940,2451.510,1,1760776596
AlwaysEdgeMed,tenantA,app1,5.000,40.000,0.00000,0.500,0.200,1536.0,140.0,edge1:med,2333.079,119.09722,2341.304,1,1760776596
AlwaysCloudLow,tenantA,app1,5.000,40.000,0.00000,0.500,0.200,1536.0,140.0,cloud1:low,3248.429,93.78906,3258.913,1,1760776596
CSN,tenantA,app1,5.000,40.000,0.00000,0.500,0.200,1536.0,180.0,edge1:high,2262.787,166.79077,2272.343,1,1760776596
GreedyLatency,tenantA,app1,5.000,40.000,0.00000,0.500,0.200,1536.0,180.0,edge1:high,2262.787,166.79077,2272.343,1,1760776596
AlwaysLocal,tenantA,app1,5.000,40.000,0.00000,0.500,0.200,1536.0,180.0,local:med,2443.708,186.15042,2451.510,1,1760776596
AlwaysEdgeMed,tenantA,app1,5.000,40.000,0.00000,0.500,0.200,1536.0,180.0,edge1:med,2333.079,119.13627,2341.304,1,1760776596
AlwaysCloudLow,tenantA,app1,5.000,40.000,0.00000,0.500,0.200,1536.0,180.0,cloud1:low,3248.429,93.81981,3258.913,1,1760776596
CSN,tenantA,app1,5.000,40.000,0.00000,0.500,0.200,1536.0,220.0,edge1:high,2262.787,166.79077,2272.343,1,1760776596
GreedyLatency,tenantA,app1,5.000,40.000,0.00000,0.500,0.200,1536.0,220.0,edge1:high,2262.787,166.79077,2272.343,1,1760776596
AlwaysLocal,tenantA,app1,5.000,40.000,0.00000,0.500,0.200,1536.0,220.0,local:med,2443.708,186.15042,2451.510,1,1760776596
AlwaysEdgeMed,tenantA,app1,5.000,40.000,0.00000,0.500,0.200,1536.0,220.0,edge1:med,2333.079,119.13627,2341.304,1,1760776596
AlwaysCloudLow,tenantA,app1,5.000,40.000,0.00000,0.500,0.200,1536.0,220.0,cloud1:low,3248.429,93.81981,3258.913,1,1760776596
CSN,tenantA,app1,5.000,40.000,0.00000,0.500,0.600,64.0,100.0,edge1:med,154.050,6.80667,162.676,1,1760776596
GreedyLatency,tenantA,app1,5.000,40.000,0.00000,0.500,0.600,64.0,100.0,edge1:high,149.128,9.52933,159.151,1,1760776596
AlwaysLocal,tenantA,app1,5.000,40.000,0.00000,0.500,0.600,64.0,100.0,local:med,173.885,10.63542,181.688,1,1760776596
AlwaysEdgeMed,tenantA,app1,5.000,40.000,0.00000,0.500,0.600,64.0,100.0,edge1:med,154.050,6.80667,162.676,1,1760776596
AlwaysCloudLow,tenantA,app1,5.000,40.000,0.00000,0.500,0.600,64.0,100.0,cloud1:low,269.287,5.36025,279.772,1,1760776596
CSN,tenantA,app1,5.000,40.000,0.00000,0.500,0.600,64.0,140.0,edge1:med,154.050,6.69173,162.676,1,1760776596
GreedyLatency,tenantA,app1,5.000,40.000,0.00000,0.500,0.600,64.0,140.0,edge1:high,149.128,9.36842,159.151,1,1760776596
AlwaysLocal,tenantA,app1,5.000,40.000,0.00000,0.500,0.600,64.0,140.0,local:med,173.885,10.45583,181.688,1,1760776596
AlwaysEdgeMed,tenantA,app1,5.000,40.000,0.00000,0.500,0.600,64.0,140.0,edge1:med,154.050,6.69173,162.676,1,1760776596
AlwaysCloudLow,tenantA,app1,5.000,40.000,0.00000,0.500,0.600,64.0,140.0,cloud1:low,269.287,5.26974,279.772,1,1760776596
CSN,tenantA,app1,5.000,40.000,0.00000,0.500,0.600,64.0,180.0,edge1:med,154.050,6.73078,162.676,0,1760776596
GreedyLatency,tenantA,app1,5.000,40.000,0.00000,0.500,0.600,64.0,180.0,edge1:high,149.128,9.42310,159.151,0,1760776596
AlwaysLocal,tenantA,app1,5.000,40.000,0.00000,0.500,0.600,64.0,180.0,local:med,173.885,10.51685,181.688,1,1760776596
AlwaysEdgeMed,tenantA,app1,5.000,40.000,0.00000,0.500,0.600,64.0,180.0,edge1:med,154.050,6.73078,162.676,0,1760776596
AlwaysCloudLow,tenantA,app1,5.000,40.000,0.00000,0.500,0.600,64.0,180.0,cloud1:low,269.287,5.30049,279.772,1,1760776596
CSN,tenantA,app1,5.000,40.000,0.00000,0.500,0.600,64.0,220.0,edge1:low,197.959,6.05771,207.604,0,1760776596
GreedyLatency,tenantA,app1,5.000,40.000,0.00000,0.500,0.600,64.0,220.0,edge1:high,151.377,9.42310,161.400,0,1760776596
AlwaysLocal,tenantA,app1,5.000,40.000,0.00000,0.500,0.600,64.0,220.0,local:med,176.300,10.51685,184.102,0,1760776596
AlwaysEdgeMed,tenantA,app1,5.000,40.000,0.00000,0.500,0.600,64.0,220.0,edge1:med,156.368,6.73078,164.994,0,1760776596
AlwaysCloudLow,tenantA,app1,5.000,40.000,0.00000,0.500,0.600,64.0,220.0,cloud1:low,272.456,5.30049,282.940,1,1760776596
CSN,tenantA,app1,5.000,40.000,0.00000,0.500,0.600,256.0,100.0,edge1:med,367.296,20.17324,375.922,1,1760776596
GreedyLatency,tenantA,app1,5.000,40.000,0.00000,0.500,0.600,256.0,100.0,edge1:high,355.977,28.24254,366.000,1,1760776596
AlwaysLocal,tenantA,app1,5.000,40.000,0.00000,0.500,0.600,256.0,100.0,local:med,396.016,31.52069,403.819,1,1760776596
AlwaysEdgeMed,tenantA,app1,5.000,40.000,0.00000,0.500,0.600,256.0,100.0,edge1:med,367.296,20.17324,375.922,1,1760776596
AlwaysCloudLow,tenantA,app1,5.000,40.000,0.00000,0.500,0.600,256.0,100.0,cloud1:low,560.834,15.88643,571.319,1,1760776596
CSN,tenantA,app1,5.000,40.000,0.00000,0.500,0.600,256.0,140.0,edge1:med,367.296,20.05830,375.922,1,1760776596
GreedyLatency,tenantA,app1,5.000,40.000,0.00000,0.500,0.600,256.0,140.0,edge1:high,355.977,28.08163,366.000,1,1760776596
AlwaysLocal,tenantA,app1,5.000,40.000,0.00000,0.500,0.600,256.0,140.0,local:med,396.016,31.34110,403.819,1,1760776596
AlwaysEdgeMed,tenantA,app1,5.000,40.000,0.00000,0.500,0.600,256.0,140.0,edge1:med,367.296,20.05830,375.922,1,1760776596
AlwaysCloudLow,tenantA,app1,5.000,40.000,0.00000,0.500,0.600,256.0,140.0,cloud1:low,560.834,15.79591,571.319,1,1760776596
CSN,tenantA,app1,5.000,40.000,0.00000,0.500,0.600,256.0,180.0,edge1:med,367.296,20.09736,375.922,1,1760776596
GreedyLatency,tenantA,app1,5.000,40.000,0.00000,0.500,0.600,256.0,180.0,edge1:high,355.977,28.13630,366.000,1,1760776596
AlwaysLocal,tenantA,app1,5.000,40.000,0.00000,0.500,0.600,256.0,180.0,local:med,396.016,31.40212,403.819,1,1760776596
AlwaysEdgeMed,tenantA,app1,5.000,40.000,0.00000,0.500,0.600,256.0,180.0,edge1:med,367.296,20.09736,375.922,1,1760776596
AlwaysCloudLow,tenantA,app1,5.000,40.000,0.00000,0.500,0.600,256.0,180.0,cloud1:low,560.834,15.82667,571.319,1,1760776596
CSN,tenantA,app1,5.000,40.000,0.00000,0.500,0.600,256.0,220.0,edge1:med,367.296,20.09736,375.922,1,1760776596
GreedyLatency,tenantA,app1,5.000,40.000,0.00000,0.500,0.600,256.0,220.0,edge1:high,355.977,28.13630,366.000,1,1760776596
AlwaysLocal,tenantA,app1,5.000,40.000,0.00000,0.500,0.600,256.0,220.0,local:med,396.016,31.40212,403.819,1,1760776596
AlwaysEdgeMed,tenantA,app1,5.000,40.000,0.00000,0.500,0.600,256.0,220.0,edge1:med,367.296,20.09736,375.922,1,1760776596
AlwaysCloudLow,tenantA,app1,5.000,40.000,0.00000,0.500,0.600,256.0,220.0,cloud1:low,560.834,15.82667,571.319,1,1760776596
CSN,tenantA,app1,5.000,40.000,0.00000,0.500,0.600,1024.0,100.0,local:med,1590.383,119.92929,1598.186,1,1760776596
GreedyLatency,tenantA,app1,5.000,40.000,0.00000,0.500,0.600,1024.0,100.0,edge1:high,1468.171,107.45665,1478.194,1,1760776596
AlwaysLocal,tenantA,app1,5.000,40.000,0.00000,0.500,0.600,1024.0,100.0,local:med,1590.383,119.92929,1598.186,1,1760776596
AlwaysEdgeMed,tenantA,app1,5.000,40.000,0.00000,0.500,0.600,1024.0,100.0,edge1:med,1513.888,76.75475,1522.514,1,1760776596
AlwaysCloudLow,tenantA,app1,5.000,40.000,0.00000,0.500,0.600,1024.0,100.0,cloud1:low,2128.440,60.44436,2138.925,1,1760776596
CSN,tenantA,app1,5.000,40.000,0.00000,0.500,0.600,1024.0,140.0,edge1:high,1468.171,107.29574,1478.194,1,1760776596
GreedyLatency,tenantA,app1,5.000,40.000,0.00000,0.500,0.600,1024.0,140.0,edge1:high,1468.171,107.29574,1478.194,1,1760776596
AlwaysLocal,tenantA,app1,5.000,40.000,0.00000,0.500,0.600,1024.0,140.0,local:med,1590.383,119.74971,1598.186,1,1760776596
AlwaysEdgeMed,tenantA,app1,5.000,40.000,0.00000,0.500,0.600,1024.0,140.0,edge1:med,1513.888,76.63981,1522.514,1,1760776596
AlwaysCloudLow,tenantA,app1,5.000,40.000,0.00000,0.500,0.600,1024.0,140.0,cloud1:low,2128.440,60.35385,2138.925,1,1760776596
CSN,tenantA,app1,5.000,40.000,0.00000,0.500,0.600,1024.0,180.0,edge1:high,1468.171,107.35042,1478.194,1,1760776596
GreedyLatency,tenantA,app1,5.000,40.000,0.00000,0.500,0.600,1024.0,180.0,edge1:high,1468.171,107.35042,1478.194,1,1760776596
AlwaysLocal,tenantA,app1,5.000,40.000,0.00000,0.500,0.600,1024.0,180.0,local:med,1590.383,119.81073,1598.186,1,1760776596
AlwaysEdgeMed,tenantA,app1,5.000,40.000,0.00000,0.500,0.600,1024.0,180.0,edge1:med,1513.888,76.67887,1522.514,1,1760776596
AlwaysCloudLow,tenantA,app1,5.000,40.000,0.00000,0.500,0.600,1024.0,180.0,cloud1:low,2128.440,60.38461,2138.925,1,1760776596
CSN,tenantA,app1,5.000,40.000,0.00000,0.500,0.600,1024.0,220.0,edge1:high,1468.171,107.35042,1478.194,1,1760776596
GreedyLatency,tenantA,app1,5.000,40.000,0.00000,0.500,0.600,1024.0,220.0,edge1:high,1468.171,107.35042,1478.194,1,1760776596
AlwaysLocal,tenantA,app1,5.000,40.000,0.00000,0.500,0.600,1024.0,220.0,local:med,1590.383,119.81073,1598.186,1,1760776596
AlwaysEdgeMed,tenantA,app1,5.000,40.000,0.00000,0.500,0.600,1024.0,220.0,edge1:med,1513.888,76.67887,1522.514,1,1760776596
AlwaysCloudLow,tenantA,app1,5.000,40.000,0.00000,0.500,0.600,1024.0,220.0,cloud1:low,2128.440,60.38461,2138.925,1,1760776596
CSN,tenantA,app1,5.000,40.000,0.00000,0.500,0.600,1536.0,100.0,edge1:high,2293.427,166.58752,2303.450,1,1760776596
GreedyLatency,tenantA,app1,5.000,40.000,0.00000,0.500,0.600,1536.0,100.0,edge1:high,2293.427,166.58752,2303.450,1,1760776596
AlwaysLocal,tenantA,app1,5.000,40.000,0.00000,0.500,0.600,1536.0,100.0,local:med,2476.611,185.92358,2484.414,1,1760776596
AlwaysEdgeMed,tenantA,app1,5.000,40.000,0.00000,0.500,0.600,1536.0,100.0,edge1:med,2364.667,118.99109,2373.293,1,1760776596
AlwaysCloudLow,tenantA,app1,5.000,40.000,0.00000,0.500,0.600,1536.0,100.0,cloud1:low,3291.615,93.70548,3302.099,1,1760776596
CSN,tenantA,app1,5.000,40.000,0.00000,0.500,0.600,1536.0,140.0,edge1:high,2293.427,166.73610,2303.450,1,1760776596
GreedyLatency,tenantA,app1,5.000,40.000,0.00000,0.500,0.600,1536.0,140.0,edge1:high,2293.427,166.73610,2303.450,1,1760776596
AlwaysLocal,tenantA,app1,5.000,40.000,0.00000,0.500,0.600,1536.0,140.0,local:med,2476.611,186.08940,2484.414,1,1760776596
AlwaysEdgeMed,tenantA,app1,5.000,40.000,0.00000,0.500,0.600,1536.0,140.0,edge1:med,2364.667,119.09722,2373.293,1,1760776596
AlwaysCloudLow,tenantA,app1,5.000,40.000,0.00000,0.500,0.600,1536.0,140.0,cloud1:low,3291.615,93.78906,3302.099,1,1760776596
CSN,tenantA,app1,5.000,40.000,0.00000,0.500,0.600,1536.0,180.0,edge1:high,2293.427,166.79077,2303.450,1,1760776596
GreedyLatency,tenantA,app1,5.000,40.000,0.00000,0.500,0.600,1536.0,180.0,edge1:high,2293.427,166.79077,2303.450,1,1760776596
AlwaysLocal,tenantA,app1,5.000,40.000,0.00000,0.500,0.600,1536.0,180.0,local:med,2476.611,186.15042,2484.414,1,1760776596
AlwaysEdgeMed,tenantA,app1,5.000,40.000,0.00000,0.500,0.600,1536.0,180.0,edge1:med,2364.667,119.13627,2373.293,1,1760776596
AlwaysCloudLow,tenantA,app1,5.000,40.000,0.00000,0.500,0.600,1536.0,180.0,cloud1:low,3291.615,93.81981,3302.099,1,1760776596
CSN,tenantA,app1,5.000,40.000,0.00000,0.500,0.600,1536.0,220.0,edge1:high,2293.427,166.79077,2303.450,1,1760776596
GreedyLatency,tenantA,app1,5.000,40.000,0.00000,0.500,0.600,1536.0,220.0,edge1:high,2293.427,166.79077,2303.450,1,1760776596
AlwaysLocal,tenantA,app1,5.000,40.000,0.00000,0.500,0.600,1536.0,220.0,local:med,2476.611,186.15042,2484.414,1,1760776596
AlwaysEdgeMed,tenantA,app1,5.000,40.000,0.00000,0.500,0.600,1536.0,220.0,edge1:med,2364.667,119.13627,2373.293,1,1760776596
AlwaysCloudLow,tenantA,app1,5.000,40.000,0.00000,0.500,0.600,1536.0,220.0,cloud1:low,3291.615,93.81981,3302.099,1,1760776596
CSN,tenantA,app1,5.000,40.000,0.00000,0.500,0.900,64.0,100.0,edge1:med,197.352,6.80667,207.084,1,1760776596
GreedyLatency,tenantA,app1,5.000,40.000,0.00000,0.500,0.900,64.0,100.0,edge1:high,191.491,9.52933,202.799,1,1760776596
AlwaysLocal,tenantA,app1,5.000,40.000,0.00000,0.500,0.900,64.0,100.0,local:med,206.491,10.63542,214.294,1,1760776596
AlwaysEdgeMed,tenantA,app1,5.000,40.000,0.00000,0.500,0.900,64.0,100.0,edge1:med,197.352,6.80667,207.084,1,1760776596
AlwaysCloudLow,tenantA,app1,5.000,40.000,0.00000,0.500,0.900,64.0,100.0,cloud1:low,312.082,5.36025,322.567,1,1760776596
CSN,tenantA,app1,5.000,40.000,0.00000,0.500,0.900,64.0,140.0,edge1:med,197.352,6.69173,207.084,1,1760776596
GreedyLatency,tenantA,app1,5.000,40.000,0.00000,0.500,0.900,64.0,140.0,edge1:high,191.491,9.36842,202.799,1,1760776596
AlwaysLocal,tenantA,app1,5.000,40.000,0.00000,0.500,0.900,64.0,140.0,local:med,206.491,10.45583,214.294,1,1760776596
AlwaysEdgeMed,tenantA,app1,5.000,40.000,0.00000,0.500,0.900,64.0,140.0,edge1:med,197.352,6.69173,207.084,1,1760776596
AlwaysCloudLow,tenantA,app1,5.000,40.000,0.00000,0.500,0.900,64.0,140.0,cloud1:low,312.082,5.26974,322.567,1,1760776596
CSN,tenantA,app1,5.000,40.000,0.00000,0.500,0.900,64.0,180.0,edge1:med,197.352,6.73078,207.084,1,1760776596
GreedyLatency,tenantA,app1,5.000,40.000,0.00000,0.500,0.900,64.0,180.0,edge1:high,191.491,9.42310,202.799,1,1760776596
AlwaysLocal,tenantA,app1,5.000,40.000,0.00000,0.500,0.900,64.0,180.0,local:med,206.491,10.51685,214.294,1,1760776596
AlwaysEdgeMed,tenantA,app1,5.000,40.000,0.00000,0.500,0.900,64.0,180.0,edge1:med,197.352,6.73078,207.084,1,1760776596
AlwaysCloudLow,tenantA,app1,5.000,40.000,0.00000,0.500,0.900,64.0,180.0,cloud1:low,312.082,5.30049,322.567,1,1760776596
CSN,tenantA,app1,5.000,40.000,0.00000,0.500,0.900,64.0,220.0,edge1:med,199.670,6.73078,209.402,0,1760776596
GreedyLatency,tenantA,app1,5.000,40.000,0.00000,0.500,0.900,64.0,220.0,edge1:high,193.739,9.42310,205.047,0,1760776596
AlwaysLocal,tenantA,app1,5.000,40.000,0.00000,0.500,0.900,64.0,220.0,local:med,208.906,10.51685,216.709,0,1760776596
AlwaysEdgeMed,tenantA,app1,5.000,40.000,0.00000,0.500,0.900,64.0,220.0,edge1:med,199.670,6.73078,209.402,0,1760776596
AlwaysCloudLow,tenantA,app1,5.000,40.000,0.00000,0.500,0.900,64.0,220.0,cloud1:low,315.251,5.30049,325.736,1,1760776596
CSN,tenantA,app1,5.000,40.000,0.00000,0.500,0.900,256.0,100.0,edge1:med,418.268,20.17324,428.000,1,1760776597
GreedyLatency,tenantA,app1,5.000,40.000,0.00000,0.500,0.900,256.0,100.0,edge1:high,405.780,28.24254,417.088,1,1760776597
AlwaysLocal,tenantA,app1,5.000,40.000,0.00000,0.500,0.900,256.0,100.0,local:med,436.613,31.52069,444.416,1,1760776597
AlwaysEdgeMed,tenantA,app1,5.000,40.000,0.00000,0.500,0.900,256.0,100.0,edge1:med,418.268,20.17324,428.000,1,1760776597
AlwaysCloudLow,tenantA,app1,5.000,40.000,0.00000,0.500,0.900,256.0,100.0,cloud1:low,614.117,15.88643,624.601,1,1760776597
CSN,tenantA,app1,5.000,40.000,0.00000,0.500,0.900,256.0,140.0,edge1:med,418.268,20.05830,428.000,1,1760776597
GreedyLatency,tenantA,app1,5.000,40.000,0.00000,0.500,0.900,256.0,140.0,edge1:high,405.780,28.08163,417.088,1,1760776597
AlwaysLocal,tenantA,app1,5.000,40.000,0.00000,0.500,0.900,256.0,140.0,local:med,436.613,31.34110,444.416,1,1760776597
AlwaysEdgeMed,tenantA,app1,5.000,40.000,0.00000,0.500,0.900,256.0,140.0,edge1:med,418.268,20.05830,428.000,1,1760776597
AlwaysCloudLow,tenantA,app1,5.000,40.000,0.00000,0.500,0.900,256.0,140.0,cloud1:low,614.117,15.79591,624.601,1,1760776597
CSN,tenantA,app1,5.000,40.000,0.00000,0.500,0.900,256.0,180.0,edge1:med,418.268,20.09736,428.000,1,1760776597
GreedyLatency,tenantA,app1,5.000,40.000,0.00000,0.500,0.900,256.0,180.0,edge1:high,405.780,28.13630,417.088,1,1760776597
AlwaysLocal,tenantA,app1,5.000,40.000,0.00000,0.500,0.900,256.0,180.0,local:med,436.613,31.40212,444.416,1,1760776597
AlwaysEdgeMed,tenantA,app1,5.000,40.000,0.00000,0.500,0.900,256.0,180.0,edge1:med,418.268,20.09736,428.000,1,1760776597
AlwaysCloudLow,tenantA,app1,5.000,40.000,0.00000,0.500,0.900,256.0,180.0,cloud1:low,614.117,15.82667,624.601,1,1760776597
CSN,tenantA,app1,5.000,40.000,0.00000,0.500,0.900,256.0,220.0,edge1:med,418.268,20.09736,428.000,1,1760776597
